Atur registrat. Per sexe. Mitjanes anuals
Barcelona
Unitats: Persones.
Font: Departament d'Empresa i Treball.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun:080193
;Sexe. Homes;Sexe. Dones;Sexe. Total
2024;28172,8;35184,9;63357,7
2023;27850,3;34320,7;62170,9
2022;27822,2;34328,6;62150,8
2021;37335,7;43768,0;81103,7
2020;40482,5;46344,0;86826,5
2019;31201,5;37591,0;68792,5
2018;32017,5;38756,7;70774,2
2017;34397,8;40426,7;74824,5
2016;38779,5;43817,6;82597,1
2015;45244,9;48469,5;93714,4
2014;51373,1;52092,8;103465,9
2013;55888,4;55046,0;110934,4
2012;57328,8;55142,3;112471,1
2011;55344,7;52176,8;107521,4
2010;54036,7;49509,8;103546,5
2009;47843,5;43878,9;91722,4
2008;30117,6;32298,0;62415,6
2007;23125,3;28922,3;52047,7
2006;24565,3;30087,3;54652,7
2005;26136,6;31349,4;57486,0

