Defuncions segons sexe
Barcelona
Font:
1975-2011: Idescat, Estadística de defuncions.
2012-2024: Idescat a partir de l'INE, Estadística de defuncions. Moviment natural de la població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=def&n=365&geo=mun:080193
;Homes;Dones;Total
2024;7086;8251;15337
2023;7298;8165;15463
2022;7727;8621;16348
2021;7868;8369;16237
2020;9248;10553;19801
2019;7145;7967;15112
2018;7437;8387;15824
2017;7718;8531;16249
2016;7363;8278;15641
2015;7507;8496;16003
2014;7344;8110;15454
2013;7330;8007;15337
2012;7696;8414;16110
2011;7261;7944;15205
2010;7452;7853;15305
2009;7459;8195;15654
2008;7504;8235;15739
2007;7777;8139;15916
2006;7694;7977;15671
2005;8351;8577;16928
2004;7695;7880;15575
2003;8256;8749;17005
2002;7847;8279;16126
2001;8000;8305;16305
2000;8039;8343;16382
1999;8564;8624;17188
1998;8168;8303;16471
1997;8217;8232;16449
1996;8519;7945;16464
1995;8585;8229;16814
1994;8409;8127;16536
1993;8576;8119;16695
1992;8529;8092;16621
1991;8600;8603;17203
1990;8641;8529;17170
1989;8565;8157;16722
1988;8230;8094;16324
1987;7949;7784;15733
1986;7978;7935;15913
1985;7995;8114;16109
1984;8489;7960;16449
1983;8673;8295;16968
1982;8509;7846;16355
1981;8569;8233;16802
1980;8630;8140;16770
1979;7953;7465;15418
1978;7879;7783;15662
1977;7804;7676;15480
1976;8001;8209;16210
1975;8161;7951;16112

