Habitatges construïts de nova planta
Barcelona
Font:
1992-2009: Departament de Medi Ambient i Habitatge.
2010-2020: Departament de Territori i Sostenibilitat. Secretaria d'Habitatge i Millora Urbana.
2021: Departament de Drets Socials.
2022-2023: Departament de Territori.
2024: Departament de Territori, Habitatge i Transició Ecològica.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=habit&n=86&geo=mun:080193
;Habitatges iniciats amb protecció oficial;Habitatges iniciats;Habitatges acabats amb protecció oficial;Cèdules habitabilitat (primera ocupació);Habitatges acabats
2024;874;1151;695;1919;1884
2023;1171;1291;901;2253;1865
2022;514;2518;380;2435;2041
2021;933;2144;408;3128;2166
2020;595;1892;270;2103;981
2019;286;1931;250;2027;1069
2018;428;2203;244;1992;1251
2017;150;1373;581;1314;1039
2016;304;1233;263;1673;1291
2015;638;1408;316;1408;836
2014;240;752;378;1287;555
2013;187;697;172;972;666
2012;342;493;1036;1269;1077
2011;1077;1073;1154;1400;1839
2010;893;1913;926;2525;1672
2009;1891;1309;499;3470;3154
2008;1174;2729;1815;3550;4404
2007;1542;4704;733;3425;3396
2006;1279;5803;681;3757;3675
2005;1221;5841;724;3317;3591
2004;855;5090;1546;3644;4641
2003;1207;5415;582;3358;4191
2002;927;4886;868;4619;4910
2001;871;4634;642;4145;4790
2000;685;5119;675;4945;4747
1999;945;6558;772;4247;3696
1998;294;6458;497;3693;3918
1997;1418;5314;255;3393;3740
1996;257;4088;0;2801;2540
1995;242;3109;130;2345;2641
1994;322;2756;1;1879;2130
1993;19;2336;19;3023;2708
1992;113;2819;44;4287;4103

