Saldos migratoris interns. Municipis
Barcelona
Font:
1988-2020: Idescat, a partir de l'Estadística de variacions residencials de l'INE.
2021-2023: Idescat, a partir de l'Estadística de migracions i canvis de residència de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=mm&n=223&geo=mun:080193
;Mateixa comarca;Resta de la província;Resta de Catalunya;Resta d'Espanya;Total
2023;-1591;-9089;-825;-48;-11553
2022;-1531;-7886;-662;551;-9528
2021;-1202;-9950;-3176;-774;-15102
2020;-1089;-13205;-5242;-3851;-23387
2019;-2312;-8967;-990;-976;-13245
2018;-2736;-8543;-1034;-604;-12917
2017;-2474;-6343;-405;2539;-6683
2016;-1993;-5072;12;2007;-5046
2015;-2181;-2787;1066;3169;-733
2014;-733;-2149;753;3278;1149
2013;-336;-3304;524;1705;-1411
2012;-791;-4467;288;522;-4448
2011;-344;-3449;427;1743;-1623
2010;-325;-5843;177;2052;-3939
2009;-972;-6483;142;1806;-5507
2008;-2850;-9253;-984;899;-12188
2007;-2266;-10433;-2574;-2069;-17342
2006;-3888;-13644;-3566;-1509;-22607
2005;-4552;-15442;-2684;-1668;-24346
2004;-4769;-18253;-4531;-1256;-28809
2003;-4850;-19617;-5300;-1373;-31140
2002;-3189;-17277;-3911;-951;-25328
2001;-772;-14591;-2928;-203;-18494
2000;-618;-15760;-3736;-2068;-22182
1999;-514;-16815;-3688;-2266;-23283
1998;-477;-18268;-3534;-2556;-24835
1997;-315;-17571;-3185;-2257;-23328
1995;-701;-15717;-3273;-2326;-22017
1994;-454;-15279;-3337;-2691;-21761
1993;-648;-13885;-3497;-2602;-20632
1992;-404;-12670;-2721;-2703;-18498
1990;-378;-11975;-2058;-1599;-16010
1989;-1115;-10919;-1721;-2113;-15868
1988;-887;-10789;-1812;-2191;-15679

