Nascuts vius segons el sexe
Barcelona
Font:
1975-2011: Idescat. Estadística de naixements. Moviment natural de la població.
2012-2021: Idescat a partir de l'INE, Estadística de naixements. Moviment natural de la població.
2022-2024: Idescat. Estadística de naixements. Moviment natural de la població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=naix&n=364&geo=mun:080193
;Nens;Nenes;Total
2024;5835;5551;11386
2023;5874;5504;11378
2022;6090;5511;11601
2021;6135;5840;11975
2020;6312;5967;12279
2019;6626;6273;12899
2018;6749;6579;13328
2017;7292;6703;13995
2016;7216;6871;14087
2015;7302;6818;14120
2014;7294;6771;14065
2013;7219;6799;14018
2012;7456;7128;14584
2011;7566;7209;14775
2010;7718;7249;14967
2009;7615;7184;14799
2008;8141;7457;15598
2007;7776;7240;15016
2006;7703;7147;14850
2005;7573;7160;14733
2004;7519;7077;14596
2003;7347;6929;14276
2002;6941;6818;13759
2001;6734;6379;13113
2000;6785;6283;13068
1999;6356;6203;12559
1998;6273;5731;12004
1997;6614;6194;12808
1996;6479;6077;12556
1995;6503;6081;12584
1994;6563;6310;12873
1993;6785;6324;13109
1992;7238;6732;13970
1991;6956;6570;13526
1990;6998;6404;13402
1989;7272;6667;13939
1988;7316;6898;14214
1987;7582;6948;14530
1986;7875;7354;15229
1985;8524;7958;16482
1984;9474;8540;18014
1983;9294;8671;17965
1982;9646;8796;18442
1981;10306;9137;19443
1980;10882;10247;21129
1979;11901;11203;23104
1978;13632;12510;26142
1977;14459;14031;28490
1976;15962;14891;30853
1975;17603;16170;33773

