Pensions contributives de la Seguretat Social. Desembre. Pensionistes per sexe
Barcelona
Unitats: Pensionistes.
Font: Idescat, a partir de l'Institut Nacional de la Seguretat Social (INSS) i de l'Institut Social de la Marina (ISM).
Nota: Les dades de l'any 2015 no estan disponibles.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=pens&n=10756&geo=mun:080193
;Homes;Dones;Total
2024;150055;190256;340311
2023;150703;190333;341036
2022;152480;191366;343846
2021;153134;190771;343905
2020;154123;190573;344696
2019;157047;193146;350193
2018;157571;192828;350399
2017;158336;192444;350780
2016;158913;192359;351272
2014;158853;192144;350997
2013;158269;191349;349618
2012;156871;189970;346841
2011;154869;188475;343344

