Població. Per sexe
Barcelona
Font:
1975-1986: Idescat. Padró municipal d'habitants.
1991: Idescat. Cens de població.
1996: Idescat. Estadística de població.
2001-2021: Idescat, a partir del Cens de població i habitatges de l'INE.
2022-2025: Idescat, a partir del Cens de població anual de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censph&n=538&geo=mun:080193
;Homes;Dones;Total
2025;819966;893281;1713247
2024;804018;882190;1686208
2023;788057;867899;1655956
2022;768009;847115;1615124
2021;774275;853284;1627559
2011;763066;847947;1611013
2001;705533;798351;1503884
1996;704977;803828;1508805
1991;775983;867559;1643542
1986;806632;895180;1701812
1981;832119;920508;1752627
1975;824919;926217;1751136

