RFDB i RFDB per habitant. Revisió estadística 2024;;;
Barcelona;;;
Font: Idescat.;;;
(p) Dada provisional.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/pub/?id=rfdbc&n=21181&geo=mun:080193;;;
;Valor (milers €);Per habitant (€);Per habitant (índex Catalunya=100)
2022;37622819;23003;120,2
2021;35889411;22136;118,8
2020;34723881;21121;119
2019;36831983;22483;121,8
2018;34852191;21538;121,7
2017;34356010;21371;122,3
2016;33754669;21132;122,8
2015;32604034;20556;121,8
2014;31153808;19691;121,6
2013;30927510;19474;121,7
2012;30752730;19195;120,1
2011;33244454;20654;122,8
2010;33448397;20774;122,7
