Atur registrat. Per sexe. Mitjanes anuals
Sabadell
Unitats: Persones.
Font: Departament d'Empresa i Treball.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun:081878
;Sexe. Homes;Sexe. Dones;Sexe. Total
2024;4727,8;6350,9;11078,8
2023;4811,6;6471,9;11283,5
2022;4958,0;6769,5;11727,5
2021;5920,5;7732,7;13653,2
2020;6327,3;8000,2;14327,5
2019;5164,3;7136,6;12300,9
2018;5446,2;7336,0;12782,2
2017;5909,5;7531,3;13440,8
2016;6833,3;8118,7;14951,9
2015;8051,5;8895,6;16947,1
2014;9343,0;9541,7;18884,7
2013;10512,8;10176,3;20689,1
2012;10555,9;10035,4;20591,3
2011;9896,3;9329,1;19225,4
2010;9596,4;8852,6;18449,0
2009;8877,8;8233,1;17110,9
2008;5126,8;6012,8;11139,7
2007;3417,3;5190,9;8608,2
2006;3531,5;5328,9;8860,4
2005;3830,7;5519,7;9350,3

