Defuncions segons sexe
Sabadell
Font:
1975-2011: Idescat, Estadística de defuncions.
2012-2024: Idescat a partir de l'INE, Estadística de defuncions. Moviment natural de la població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=def&n=365&geo=mun:081878
;Homes;Dones;Total
2024;937;953;1890
2023;916;952;1868
2022;999;973;1972
2021;1018;935;1953
2020;1165;1089;2254
2019;912;963;1875
2018;903;977;1880
2017;921;850;1771
2016;885;828;1713
2015;887;870;1757
2014;832;865;1697
2013;820;865;1685
2012;913;867;1780
2011;815;829;1644
2010;840;810;1650
2009;892;837;1729
2008;796;836;1632
2007;838;797;1635
2006;802;752;1554
2005;860;772;1632
2004;863;712;1575
2003;829;855;1684
2002;810;727;1537
2001;814;720;1534
2000;806;733;1539
1999;845;764;1609
1998;823;749;1572
1997;768;709;1477
1996;823;664;1487
1995;801;675;1476
1994;766;692;1458
1993;796;707;1503
1992;704;689;1393
1991;732;652;1384
1990;738;733;1471
1989;776;686;1462
1988;716;641;1357
1987;695;646;1341
1986;679;648;1327
1985;663;604;1267
1984;615;575;1190
1983;607;592;1199
1982;626;610;1236
1981;641;594;1235
1980;651;578;1229
1979;592;578;1170
1978;627;550;1177
1977;615;608;1223
1976;619;556;1175
1975;649;584;1233

