Indicadors geogràfics. Superfície, densitat i entitats de població
Sabadell
Font: Idescat, a partir de l'Institut Cartogràfic de Catalunya.
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=396&geo=mun:081878
;Superfície (km²);Densitat (hab./km²);Entitats singulars població (nombre)
2025;37,79;5943,1;..
2024;37,79;5863,0;5
2023;37,79;5767,9;5
2022;37,79;5709,5;5
2021;37,79;5721,2;5
2020;37,79;5729,6;5
2019;37,79;5653,5;5
2018;37,79;5602,9;5
2017;37,79;5555,2;5
2016;37,79;5510,6;5
2015;37,79;5499,2;5
2014;37,79;5489,4;5
2013;37,79;5494,8;5
2012;37,79;5502,5;5
2011;37,79;5496,7;5
2010;37,79;5486,6;5
2009;37,79;5464,2;5
2008;37,79;5397,4;5
2007;37,79;5337,7;5
2006;37,79;5306,8;5
2005;37,79;5212,3;5
2004;37,79;5116,1;5
2003;37,79;5055,8;5
2002;37,79;4953,7;5
2001;37,79;4900,0;5
2000;37,79;4861,8;5
1999;37,79;4891,7;5
1998;37,79;4891,7;5

