Habitatges construïts de nova planta
Sabadell
Font:
1992-2009: Departament de Medi Ambient i Habitatge.
2010-2020: Departament de Territori i Sostenibilitat. Secretaria d'Habitatge i Millora Urbana.
2021: Departament de Drets Socials.
2022-2023: Departament de Territori.
2024: Departament de Territori, Habitatge i Transició Ecològica.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=habit&n=86&geo=mun:081878
;Habitatges iniciats amb protecció oficial;Habitatges iniciats;Habitatges acabats amb protecció oficial;Cèdules habitabilitat (primera ocupació);Habitatges acabats
2024;196;521;22;541;419
2023;31;641;104;436;349
2022;37;451;4;429;410
2021;54;408;84;786;587
2020;1;422;22;793;688
2019;74;608;15;207;201
2018;39;835;0;218;209
2017;52;287;6;120;68
2016;4;203;7;83;81
2015;1;102;96;112;101
2014;86;187;0;182;226
2013;10;39;4;175;150
2012;102;167;618;140;667
2011;1;253;51;634;427
2010;284;657;384;882;922
2009;235;286;119;913;965
2008;435;641;116;1172;1512
2007;714;2123;207;1683;1932
2006;247;3028;135;1757;2014
2005;314;1959;791;1446;2104
2004;465;2903;848;939;2063
2003;484;2776;520;1175;1888
2002;1125;2503;132;1319;1382
2001;508;2045;290;1298;1711
2000;322;1623;118;1503;1707
1999;231;1637;89;1354;1235
1998;111;2217;93;1068;1142
1997;138;1580;269;1039;1085
1996;178;1486;4;951;1255
1995;156;1106;94;1098;1001
1994;108;1492;58;429;536
1993;17;1219;0;745;1012
1992;133;613;36;610;628

