Immigracions externes. Per continent de procedència;;;;;;;;
Sabadell;;;;;;;;
Font:;;;;;;;;
2004-2020: Idescat, a partir de l'Estadística de variacions residencials de l'INE.;;;;;;;;
2021-2023: Idescat, a partir de l'Estadística de migracions i canvis de residència de l'INE.;;;;;;;;
(b) Ruptura en la sèrie temporal.;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;
https://www.idescat.cat/pub/?id=mm&n=487&geo=mun:081878;;;;;;;;
;Resta de la UE;Resta d'Europa;Àfrica;Amèrica;Àsia;Oceania;No consta;Total
2023;539;380;930;3427;461;15;0;5752
2022;426;455;918;3076;380;19;0;5274
2021;394;230;730;1657;346;5;0;3362
2020;207;114;308;1101;179;9;505;2423
2019;362;116;669;2124;301;12;685;4269
2018;353;108;537;1796;246;2;596;3638
2017;360;115;317;1467;230;8;537;3034
2016;332;88;254;1091;174;4;533;2476
2015;300;101;202;653;136;7;695;2094
2014;251;72;118;518;77;2;696;1734
2013;181;62;145;385;111;2;683;1569
2012;218;49;169;431;109;6;620;1602
2011;318;83;270;552;195;3;639;2060
2010;330;66;329;575;163;3;620;2086
2009;289;82;461;721;146;8;593;2300
2008;476;127;940;1448;201;1;328;3521
2007;692;145;817;2220;158;4;67;4103
2006;227;467;583;2353;168;2;109;3909
2005;208;425;689;1718;224;7;74;3345
2004;187;408;624;1786;208;2;93;3308
