Saldos migratoris interns. Municipis
Sabadell
Font:
1988-2020: Idescat, a partir de l'Estadística de variacions residencials de l'INE.
2021-2023: Idescat, a partir de l'Estadística de migracions i canvis de residència de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=mm&n=223&geo=mun:081878
;Mateixa comarca;Resta de la província;Resta de Catalunya;Resta d'Espanya;Total
2023;395;675;-96;-19;955
2022;311;320;-169;-31;431
2021;-119;252;-336;-261;-464
2020;-100;488;-434;-60;-106
2019;111;245;-130;7;233
2018;132;559;-106;-66;519
2017;202;409;-44;248;815
2016;216;330;36;302;884
2015;-85;260;32;64;271
2014;204;129;68;244;645
2013;315;359;55;11;740
2012;185;460;65;-6;704
2011;146;205;54;44;449
2010;54;68;-82;-73;-33
2009;2;239;-19;24;246
2008;-360;442;-59;1;24
2007;-717;474;-404;-314;-961
2006;-698;548;-379;-456;-985
2005;-219;891;-345;-191;136
2004;-551;815;-448;-113;-297
2003;-530;620;-369;-9;-288
2002;-353;481;-237;-4;-113
2001;-506;276;-336;-102;-668
2000;-451;369;-236;63;-255
1999;-923;137;-214;-102;-1102
1998;-1102;45;-222;-112;-1391
1997;-862;157;-206;-66;-977
1995;-748;137;-162;-95;-868
1994;-697;71;-176;-191;-993
1993;-700;203;-199;-121;-817
1992;-449;131;-145;-129;-592
1990;-443;196;-150;88;-309
1989;-719;45;-142;-94;-910
1988;-537;113;-98;73;-449

