Nascuts vius segons el sexe
Sabadell
Font:
1975-2011: Idescat. Estadística de naixements. Moviment natural de la població.
2012-2021: Idescat a partir de l'INE, Estadística de naixements. Moviment natural de la població.
2022-2024: Idescat. Estadística de naixements. Moviment natural de la població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=naix&n=364&geo=mun:081878
;Nens;Nenes;Total
2024;831;779;1610
2023;817;822;1639
2022;845;835;1680
2021;908;860;1768
2020;844;878;1722
2019;944;937;1881
2018;972;903;1875
2017;1030;987;2017
2016;1166;988;2154
2015;1078;1020;2098
2014;1127;972;2099
2013;1113;1017;2130
2012;1141;1160;2301
2011;1213;1176;2389
2010;1297;1150;2447
2009;1309;1213;2522
2008;1373;1260;2633
2007;1293;1222;2515
2006;1231;1176;2407
2005;1190;1091;2281
2004;1145;1121;2266
2003;1106;1062;2168
2002;1037;970;2007
2001;1078;885;1963
2000;979;902;1881
1999;847;836;1683
1998;879;836;1715
1997;872;849;1721
1996;939;805;1744
1995;863;773;1636
1994;866;826;1692
1993;914;845;1759
1992;953;918;1871
1991;929;880;1809
1990;946;869;1815
1989;960;886;1846
1988;1016;907;1923
1987;1012;931;1943
1986;1069;1012;2081
1985;1151;1038;2189
1984;1156;1041;2197
1983;1008;1003;2011
1982;1152;1065;2217
1981;1184;1097;2281
1980;1278;1269;2547
1979;1512;1381;2893
1978;1630;1521;3151
1977;1927;1819;3746
1976;1653;1557;3210
1975;2056;1875;3931

