Pensions contributives de la Seguretat Social. Desembre. Pensionistes per sexe
Sabadell
Unitats: Pensionistes.
Font: Idescat, a partir de l'Institut Nacional de la Seguretat Social (INSS) i de l'Institut Social de la Marina (ISM).
Nota: Les dades de l'any 2015 no estan disponibles.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=pens&n=10756&geo=mun:081878
;Homes;Dones;Total
2024;21782;25090;46872
2023;21614;24844;46458
2022;21648;24911;46559
2021;21549;24647;46196
2020;21544;24509;46053
2019;21747;24685;46432
2018;21703;24611;46314
2017;21534;24436;45970
2016;21348;24281;45629
2014;21183;24099;45282
2013;20972;23971;44943
2012;20687;23881;44568
2011;20360;23554;43914

