Població. Per sexe
Sabadell
Font:
1975-1986: Idescat. Padró municipal d'habitants.
1991: Idescat. Cens de població.
1996: Idescat. Estadística de població.
2001-2021: Idescat, a partir del Cens de població i habitatges de l'INE.
2022-2025: Idescat, a partir del Cens de població anual de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censph&n=538&geo=mun:081878
;Homes;Dones;Total
2025;109371;115218;224589
2024;107625;113939;221564
2023;105833;112135;217968
2022;104452;110590;215042
2021;105401;111358;216759
2011;101041;105908;206949
2001;89252;94536;183788
1996;90347;95451;185798
1991;92471;96933;189404
1986;91082;95033;186115
1981;91202;94921;186123
1975;89455;93472;182927

