RFDB i RFDB per habitant. Revisió estadística 2024;;;
Sabadell;;;
Font: Idescat.;;;
(p) Dada provisional.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/pub/?id=rfdbc&n=21181&geo=mun:081878;;;
;Valor (milers €);Per habitant (€);Per habitant (índex Catalunya=100)
2022;4136846;19107;99,8
2021;4009193;18569;99,6
2020;3780837;17477;98,5
2019;3881733;18073;97,9
2018;3707395;17466;98,7
2017;3620608;17215;98,5
2016;3544929;17008;98,9
2015;3446222;16651;98,7
2014;3309913;16048;99,1
2013;3270755;15854;99,1
2012;3311509;16005;100,1
2011;3496506;16878;100,3
2010;3467764;16771;99,1
