Parc de vehicles, per tipus
Sabadell
Font: Idescat, a partir de la DGT.
Nota: Les dades dels anys 2016 i 2017 són provisionals.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=parcc&n=291&geo=mun:081878
;Turismes;Motocicletes;Camions i furgonetes;Tractors industrials;Autobusos i altres;Total
2024;95235;18663;16393;474;3715;134480
2023;96251;17844;16407;442;3516;134460
2022;96334;17181;16371;465;3532;133883
2021;97696;16719;16610;464;3435;134924
2020;98432;16361;16881;432;3243;135349
2019;98230;15940;17175;409;3149;134903
2018;97239;15330;17434;424;3094;133521
2017;95808;14672;17405;412;3037;131334
2016;93187;14282;17640;409;3007;128525
2015;90905;13713;17503;372;2933;125426
2014;89789;13285;17591;357;3066;124088
2013;89695;13010;17855;370;3213;124143
2012;90576;12859;18306;382;3474;125597
2011;91228;12626;18784;420;3671;126729
2010;92100;12285;19190;418;3798;127791
2009;91496;11917;19667;458;3827;127365
2008;92022;11617;19944;489;3883;127955
2007;92528;10820;20326;501;3799;127974
2006;88874;9587;19342;490;3070;121363
2005;89014;8583;19021;482;2776;119876
2004;90120;7715;18876;461;2548;119720
2003;86850;7264;18294;422;2285;115115
2002;90467;7457;19103;407;2129;119563
2001;89314;7337;18981;378;1976;117986
2000;86619;7195;18650;353;1796;114613
1999;85298;7038;18282;323;1655;112596
1998;82612;6879;17749;305;1519;109064
1997;78139;6747;16847;261;1436;103430

