Atur registrat. Per sexe. Mitjanes anuals
Sant Cugat del Vallès
Unitats: Persones.
Font: Departament d'Empresa i Treball.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun:082055
;Sexe. Homes;Sexe. Dones;Sexe. Total
2024;1083,0;1345,8;2428,8
2023;1058,7;1364,4;2423,2
2022;1010,5;1342,5;2353,0
2021;1302,3;1685,2;2987,4
2020;1417,3;1807,7;3224,9
2019;1134,4;1433,3;2567,8
2018;1153,0;1421,3;2574,3
2017;1233,3;1490,0;2723,3
2016;1431,5;1684,5;3116,0
2015;1623,4;1882,0;3505,4
2014;1848,2;2088,7;3936,9
2013;2055,1;2230,4;4285,5
2012;2061,1;2224,5;4285,6
2011;1953,0;2082,0;4035,0
2010;1896,8;1950,1;3846,9
2009;1656,1;1679,6;3335,7
2008;968,8;1144,9;2113,8
2007;792,3;1002,9;1795,3
2006;807,5;1055,7;1863,2
2005;824,5;1135,8;1960,3

