Defuncions segons sexe
Sant Cugat del Vallès
Font:
1975-2011: Idescat, Estadística de defuncions.
2012-2024: Idescat a partir de l'INE, Estadística de defuncions. Moviment natural de la població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=def&n=365&geo=mun:082055
;Homes;Dones;Total
2024;249;252;501
2023;280;263;543
2022;229;264;493
2021;292;264;556
2020;327;374;701
2019;253;294;547
2018;238;288;526
2017;258;288;546
2016;244;265;509
2015;224;276;500
2014;260;233;493
2013;233;224;457
2012;208;273;481
2011;210;212;422
2010;190;191;381
2009;194;170;364
2008;196;201;397
2007;171;200;371
2006;195;178;373
2005;176;175;351
2004;160;172;332
2003;179;147;326
2002;172;187;359
2001;183;187;370
2000;187;155;342
1999;165;174;339
1998;176;163;339
1997;170;146;316
1996;146;152;298
1995;135;166;301
1994;132;120;252
1993;140;119;259
1992;163;112;275
1991;108;132;240
1990;143;96;239
1989;116;96;212
1988;117;116;233
1987;124;113;237
1986;133;97;230
1985;130;103;233
1984;93;96;189
1983;86;95;181
1982;90;82;172
1981;85;69;154
1980;88;75;163
1979;94;56;150
1978;96;85;181
1977;86;80;166
1976;89;80;169
1975;93;106;199

