Indicadors geogràfics. Superfície, densitat i entitats de població;;;
Sant Cugat del Vallès;;;
Font: Idescat, a partir de l'Institut Cartogràfic de Catalunya.;;;
(..) Dada confidencial, amb baixa fiabilitat o no disponible.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/pub/?id=inddt&n=396&geo=mun:082055;;;
;Superfície (km²);Densitat (hab./km²);Entitats singulars població (nombre)
2025;48,23;2031,1;5
2024;48,23;2045,4;5
2023;48,23;2023,2;5
2022;48,23;1984,8;5
2021;48,23;1949,2;5
2020;48,23;1927,8;5
2019;48,23;1886,9;5
2018;48,23;1879,8;5
2017;48,23;1856;5
2016;48,23;1843,7;5
2015;48,23;1821,1;5
2014;48,23;1806,3;5
2013;48,23;1785,4;5
2012;48,23;1761,3;5
2011;48,23;1727,9;5
2010;48,23;1694,9;5
2009;48,23;1643,2;5
2008;48,23;1581,5;5
2007;48,23;1541,5;5
2006;48,23;1529,6;5
2005;48,23;1462;5
2004;48,23;1349;5
2003;48,23;1309;5
2002;48,23;1240,7;5
2001;48,23;1157,5;5
2000;48,23;1091,7;5
1999;48,23;1040,2;5
1998;48,23;1047,7;5
