Habitatges construïts de nova planta
Sant Cugat del Vallès
Font:
1992-2009: Departament de Medi Ambient i Habitatge.
2010-2020: Departament de Territori i Sostenibilitat. Secretaria d'Habitatge i Millora Urbana.
2021: Departament de Drets Socials.
2022-2023: Departament de Territori.
2024: Departament de Territori, Habitatge i Transició Ecològica.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=habit&n=86&geo=mun:082055
;Habitatges iniciats amb protecció oficial;Habitatges iniciats;Habitatges acabats amb protecció oficial;Cèdules habitabilitat (primera ocupació);Habitatges acabats
2024;35;235;0;284;239
2023;0;146;61;96;150
2022;0;188;3;221;134
2021;0;160;4;465;445
2020;11;223;2;377;399
2019;0;291;97;561;469
2018;99;676;0;491;386
2017;0;583;0;297;266
2016;58;552;24;161;142
2015;39;260;0;66;21
2014;24;49;0;77;46
2013;0;32;0;240;143
2012;191;71;128;270;296
2011;102;653;57;132;564
2010;57;335;72;371;174
2009;86;40;310;814;627
2008;18;153;302;1221;1869
2007;18;1161;37;1399;1355
2006;265;2086;0;300;311
2005;554;2355;60;744;732
2004;30;1275;102;544;728
2003;0;577;0;582;628
2002;143;1102;0;480;470
2001;0;818;0;874;863
2000;0;671;0;951;948
1999;0;870;101;1151;1216
1998;0;1114;30;1134;972
1997;101;1467;0;1033;906
1996;30;1056;105;863;992
1995;51;1268;0;756;745
1994;54;937;57;568;660
1993;0;484;0;520;531
1992;57;604;34;483;528

