Immigracions externes. Per continent de procedència;;;;;;;;
Sant Cugat del Vallès;;;;;;;;
Font:;;;;;;;;
2004-2020: Idescat, a partir de l'Estadística de variacions residencials de l'INE.;;;;;;;;
2021-2023: Idescat, a partir de l'Estadística de migracions i canvis de residència de l'INE.;;;;;;;;
(b) Ruptura en la sèrie temporal.;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;
https://www.idescat.cat/pub/?id=mm&n=487&geo=mun:082055;;;;;;;;
;Resta de la UE;Resta d'Europa;Àfrica;Amèrica;Àsia;Oceania;No consta;Total
2023;559;401;126;1256;370;9;0;2721
2022;558;690;127;1364;339;19;0;3097
2021;561;329;104;1219;283;9;0;2505
2020;341;141;54;614;116;8;198;1472
2019;516;125;100;1234;249;16;244;2484
2018;457;157;89;1006;210;12;161;2092
2017;558;117;57;919;160;21;161;1993
2016;466;89;39;807;182;6;172;1761
2015;372;95;46;665;158;4;189;1529
2014;329;87;37;446;128;18;177;1222
2013;247;73;37;325;127;5;179;993
2012;289;70;27;339;126;9;185;1045
2011;308;66;55;491;125;9;201;1255
2010;266;59;30;484;149;8;171;1167
2009;339;54;44;542;89;6;180;1254
2008;361;72;88;846;143;3;37;1550
2007;423;45;86;876;108;3;2;1543
2006;334;109;79;1058;82;0;4;1666
2005;292;103;56;668;100;4;5;1228
2004;282;69;63;602;102;4;1;1123
