Saldos migratoris interns. Municipis
Sant Cugat del Vallès
Font:
1988-2020: Idescat, a partir de l'Estadística de variacions residencials de l'INE.
2021-2023: Idescat, a partir de l'Estadística de migracions i canvis de residència de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=mm&n=223&geo=mun:082055
;Mateixa comarca;Resta de la província;Resta de Catalunya;Resta d'Espanya;Total
2023;-626;292;-124;-199;-657
2022;-582;386;-98;-352;-646
2021;-292;1040;-133;-178;437
2020;-306;1341;-221;-178;636
2019;-462;729;-33;-100;134
2018;-569;614;-76;-144;-175
2017;-484;167;-34;37;-314
2016;-246;379;-17;-53;63
2015;-33;608;21;152;748
2014;6;563;26;145;740
2013;-123;794;71;25;767
2012;-117;770;42;53;748
2011;-40;956;-1;-7;908
2010;144;1223;8;60;1435
2009;105;1236;64;-1;1404
2008;9;1146;61;45;1261
2007;-169;625;-121;-79;256
2006;-355;809;-105;-62;287
2005;-427;992;-77;73;561
2004;-466;624;-49;-70;39
2003;-502;1039;-61;130;606
2002;-407;1117;-79;86;717
2001;-91;1495;-6;144;1542
2000;-61;1559;-46;94;1546
1999;-13;1728;35;122;1872
1998;5;2324;40;112;2481
1997;-37;2012;24;92;2091
1995;11;1515;9;52;1587
1994;-93;1193;-20;64;1144
1993;-27;961;-36;43;941
1992;-90;880;-9;58;839
1990;-178;658;-4;52;528
1989;-45;692;-7;32;672
1988;-155;576;-6;21;436

