Nascuts vius segons el sexe
Sant Cugat del Vallès
Font:
1975-2011: Idescat. Estadística de naixements. Moviment natural de la població.
2012-2021: Idescat a partir de l'INE, Estadística de naixements. Moviment natural de la població.
2022-2024: Idescat. Estadística de naixements. Moviment natural de la població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=naix&n=364&geo=mun:082055
;Nens;Nenes;Total
2024;327;306;633
2023;354;353;707
2022;412;340;752
2021;418;388;806
2020;390;363;753
2019;402;403;805
2018;394;414;808
2017;491;422;913
2016;480;459;939
2015;461;467;928
2014;518;456;974
2013;497;486;983
2012;500;467;967
2011;517;499;1016
2010;536;460;996
2009;472;472;944
2008;519;468;987
2007;485;468;953
2006;460;499;959
2005;541;501;1042
2004;494;482;976
2003;503;493;996
2002;522;447;969
2001;494;442;936
2000;476;424;900
1999;394;399;793
1998;389;331;720
1997;342;310;652
1996;308;286;594
1995;290;238;528
1994;300;242;542
1993;280;260;540
1992;248;236;484
1991;229;215;444
1990;220;184;404
1989;212;204;416
1988;227;200;427
1987;232;190;422
1986;224;212;436
1985;230;220;450
1984;208;160;368
1983;181;199;380
1982;238;174;412
1981;256;230;486
1980;266;226;492
1979;258;263;521
1978;244;264;508
1977;265;312;577
1976;289;288;577
1975;314;273;587

