Pensions contributives de la Seguretat Social. Desembre. Pensionistes per sexe
Sant Cugat del Vallès
Unitats: Pensionistes.
Font: Idescat, a partir de l'Institut Nacional de la Seguretat Social (INSS) i de l'Institut Social de la Marina (ISM).
Nota: Les dades de l'any 2015 no estan disponibles.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=pens&n=10756&geo=mun:082055
;Homes;Dones;Total
2024;6554;7003;13557
2023;6402;6797;13199
2022;6371;6619;12990
2021;6198;6408;12606
2020;6073;6196;12269
2019;5998;6125;12123
2018;5858;5967;11825
2017;5699;5787;11486
2016;5516;5551;11067
2014;5202;5243;10445
2013;5017;5037;10054
2012;4768;4832;9600
2011;4478;4655;9133

