Població. Per sexe
Sant Cugat del Vallès
Font:
1975-1986: Idescat. Padró municipal d'habitants.
1991: Idescat. Cens de població.
1996: Idescat. Estadística de població.
2001-2021: Idescat, a partir del Cens de població i habitatges de l'INE.
2022-2025: Idescat, a partir del Cens de població anual de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censph&n=538&geo=mun:082055
;Homes;Dones;Total
2025;47562;50397;97959
2024;48056;50593;98649
2023;47529;50050;97579
2022;46640;49243;95883
2021;45674;48263;93937
2011;41540;43394;84934
2001;29621;30644;60265
1996;23318;23892;47210
1991;19277;19660;38937
1986;17432;17870;35302
1981;15025;15608;30633
1975;14587;14568;29155

