RFDB i RFDB per habitant. Revisió estadística 2024;;;
Sant Cugat del Vallès;;;
Font: Idescat.;;;
(p) Dada provisional.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/pub/?id=rfdbc&n=21181&geo=mun:082055;;;
;Valor (milers €);Per habitant (€);Per habitant (índex Catalunya=100)
2022;2518623;26038;136
2021;2459852;25918;139,1
2020;2376869;25426;143,3
2019;2406952;26201;141,9
2018;2251343;24835;140,3
2017;2192052;24391;139,6
2016;2135688;24014;139,6
2015;1997566;22719;134,6
2014;1831616;21079;130,1
2013;1793118;20828;130,2
2012;1772320;20811;130,2
2011;1901907;22676;134,8
2010;1944328;23643;139,7
