Parc de vehicles, per tipus
Sant Cugat del Vallès
Font: Idescat, a partir de la DGT.
Nota: Les dades dels anys 2016 i 2017 són provisionals.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=parcc&n=291&geo=mun:082055
;Turismes;Motocicletes;Camions i furgonetes;Tractors industrials;Autobusos i altres;Total
2024;40087;12182;5855;119;1223;59466
2023;40705;11921;5926;120;1167;59839
2022;40526;11745;5864;127;1154;59416
2021;40318;11583;5938;136;1134;59109
2020;40524;11335;5973;121;1096;59049
2019;40450;11022;6089;107;1055;58723
2018;39955;10752;5973;104;1005;57789
2017;39374;10381;5812;97;970;56634
2016;38379;10075;5948;96;936;55434
2015;37612;9542;5933;96;903;54086
2014;36760;9172;5876;95;887;52790
2013;36332;8819;5969;92;896;52108
2012;36074;8592;5974;94;900;51634
2011;35712;8422;5956;97;909;51096
2010;35151;8095;5842;101;891;50080
2009;34399;7766;5737;93;890;48885
2008;33554;7406;5593;89;866;47508
2007;32873;6863;5605;97;840;46278
2006;31443;6238;5228;92;776;43777
2005;31374;5802;5182;111;783;43252
2004;30390;5276;4892;107;726;41391
2003;29415;4940;4718;105;667;39845
2002;29232;4909;4599;97;610;39447
2001;28188;4704;4491;78;553;38014
2000;26900;4500;4335;80;518;36333
1999;25706;4284;4173;72;462;34697
1998;24329;4057;3951;59;414;32810
1997;22873;3916;3714;55;374;30932

