Atur registrat. Per sexe. Mitjanes anuals
Terrassa
Unitats: Persones.
Font: Departament d'Empresa i Treball.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun:082798
;Sexe. Homes;Sexe. Dones;Sexe. Total
2024;5029,0;7210,9;12239,9
2023;5141,8;7414,8;12556,6
2022;5264,8;7601,9;12866,7
2021;6389,3;8823,0;15212,3
2020;6909,8;9218,0;16127,8
2019;5759,8;8289,1;14048,8
2018;5951,0;8378,1;14329,1
2017;6633,3;8699,8;15333,1
2016;7971,3;9679,2;17650,4
2015;9255,3;10712,3;19967,7
2014;10781,2;11328,2;22109,3
2013;11971,7;11784,8;23756,5
2012;12037,6;11021,7;23059,3
2011;11319,9;10176,8;21496,7
2010;10526,8;9506,3;20033,0
2009;9307,9;8653,9;17961,8
2008;5485,6;6610,8;12096,4
2007;3765,2;5681,8;9447,0
2006;3758,2;5863,1;9621,3
2005;3797,2;5851,6;9648,8

