Defuncions segons sexe
Terrassa
Font:
1975-2011: Idescat, Estadística de defuncions.
2012-2024: Idescat a partir de l'INE, Estadística de defuncions. Moviment natural de la població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=def&n=365&geo=mun:082798
;Homes;Dones;Total
2024;853;867;1720
2023;905;906;1811
2022;945;944;1889
2021;954;951;1905
2020;1034;1058;2092
2019;829;842;1671
2018;925;876;1801
2017;902;864;1766
2016;823;880;1703
2015;814;873;1687
2014;786;808;1594
2013;807;818;1625
2012;774;763;1537
2011;772;748;1520
2010;791;796;1587
2009;749;748;1497
2008;773;766;1539
2007;830;731;1561
2006;736;702;1438
2005;788;751;1539
2004;786;689;1475
2003;802;660;1462
2002;785;681;1466
2001;714;672;1386
2000;755;672;1427
1999;785;645;1430
1998;719;639;1358
1997;671;655;1326
1996;666;582;1248
1995;679;606;1285
1994;670;575;1245
1993;657;614;1271
1992;629;623;1252
1991;624;580;1204
1990;606;576;1182
1989;630;567;1197
1988;637;561;1198
1987;605;545;1150
1986;608;532;1140
1985;532;531;1063
1984;638;556;1194
1983;594;536;1130
1982;575;498;1073
1981;612;533;1145
1980;629;567;1196
1979;586;490;1076
1978;547;497;1044
1977;537;541;1078
1976;579;505;1084
1975;572;526;1098

