Indicadors geogràfics. Superfície, densitat i entitats de població
Terrassa
Font: Idescat, a partir de l'Institut Cartogràfic de Catalunya.
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=396&geo=mun:082798
;Superfície (km²);Densitat (hab./km²);Entitats singulars població (nombre)
2025;70,16;3316,4;..
2024;70,16;3253,9;5
2023;70,16;3210,9;5
2022;70,16;3194,3;5
2021;70,16;3178,6;5
2020;70,16;3187,4;5
2019;70,16;3143,6;5
2018;70,16;3114,8;5
2017;70,16;3084,8;5
2016;70,16;3066,2;5
2015;70,16;3067,5;5
2014;70,16;3071,8;5
2013;70,16;3065,2;5
2012;70,16;3074,1;5
2011;70,16;3045,9;5
2010;70,16;3032,0;5
2009;70,16;3006,6;5
2008;70,16;2939,6;5
2007;70,16;2881,1;5
2006;70,16;2848,0;5
2005;70,16;2778,6;5
2004;70,16;2696,9;5
2003;70,16;2634,4;5
2002;70,16;2555,6;5
2001;70,16;2490,8;5
2000;70,16;2448,6;5
1999;70,16;2404,4;5
1998;70,16;2361,1;5

