Habitatges construïts de nova planta
Terrassa
Font:
1992-2009: Departament de Medi Ambient i Habitatge.
2010-2020: Departament de Territori i Sostenibilitat. Secretaria d'Habitatge i Millora Urbana.
2021: Departament de Drets Socials.
2022-2023: Departament de Territori.
2024: Departament de Territori, Habitatge i Transició Ecològica.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=habit&n=86&geo=mun:082798
;Habitatges iniciats amb protecció oficial;Habitatges iniciats;Habitatges acabats amb protecció oficial;Cèdules habitabilitat (primera ocupació);Habitatges acabats
2024;18;669;21;536;568
2023;348;893;21;466;369
2022;0;599;2;668;455
2021;0;515;54;451;425
2020;25;157;21;358;229
2019;41;729;5;307;240
2018;0;194;0;100;43
2017;0;214;6;117;69
2016;0;81;2;283;152
2015;0;252;0;38;30
2014;0;30;0;105;71
2013;2;70;25;188;132
2012;128;80;416;305;294
2011;130;111;86;796;159
2010;201;445;277;788;675
2009;233;403;105;1435;1548
2008;794;888;127;2135;2249
2007;246;3917;95;3040;3102
2006;67;6574;183;2289;2554
2005;265;5126;0;2330;2361
2004;16;4178;66;2348;2395
2003;54;2927;105;2327;2861
2002;141;3041;245;2158;2370
2001;185;2448;89;2079;2010
2000;122;2362;8;1845;1942
1999;221;2391;458;1692;1831
1998;0;2653;350;1425;1789
1997;634;2262;188;1289;1306
1996;491;1643;494;1489;1870
1995;318;1673;140;1065;1404
1994;294;1612;225;1112;1360
1993;289;1956;81;1012;1138
1992;228;1563;47;766;704

