Immigracions externes. Per continent de procedència;;;;;;;;
Terrassa;;;;;;;;
Font:;;;;;;;;
2004-2020: Idescat, a partir de l'Estadística de variacions residencials de l'INE.;;;;;;;;
2021-2023: Idescat, a partir de l'Estadística de migracions i canvis de residència de l'INE.;;;;;;;;
(b) Ruptura en la sèrie temporal.;;;;;;;;
Institut d'Estadística de Catalunya;;;;;;;;
https://www.idescat.cat/pub/?id=mm&n=487&geo=mun:082798;;;;;;;;
;Resta de la UE;Resta d'Europa;Àfrica;Amèrica;Àsia;Oceania;No consta;Total
2023;490;310;1410;3083;295;23;0;5611
2022;462;387;1380;2926;263;17;0;5435
2021;391 (b);233 (b);1173 (b);1778 (b);287 (b);18 (b);0 (b);3880
2020;161;94;582;987;106;8;457;2395
2019;340;86;925;2084;193;3;553;4184
2018;345;86;961;1691;210;6;584;3883
2017;369;64;572;1387;178;2;513;3085
2016;345;77;424;1127;122;9;516;2620
2015;288;62;335;658;106;5;635;2089
2014;227;68;259;494;67;0;474;1589
2013;223;34;217;412;84;2;495;1467
2012;222;44;218;473;93;3;500;1553
2011;284;81;399;617;92;2;672;2147
2010;246;54;412;590;112;2;843;2259
2009;323;58;744;680;106;3;723;2637
2008;394;72;1627;1641;199;7;282;4222
2007;521;101;1592;1563;132;3;94;4006
2006;156;489;1184;1310;119;1;111;3370
2005;91;207;948;695;101;1;873;2916
2004;43;28;47;56;9;0;2636;2819
