Saldos migratoris interns. Municipis
Terrassa
Font:
1988-2020: Idescat, a partir de l'Estadística de variacions residencials de l'INE.
2021-2023: Idescat, a partir de l'Estadística de migracions i canvis de residència de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=mm&n=223&geo=mun:082798
;Mateixa comarca;Resta de la província;Resta de Catalunya;Resta d'Espanya;Total
2023;370;461;-197;-99;535
2022;171;308;-297;-171;11
2021;11;237;-372;-161;-285
2020;-244;-34;-375;-194;-847
2019;71;359;-120;12;322
2018;16;301;-38;-3;276
2017;138;320;-68;16;406
2016;61;357;-30;254;642
2015;13;125;75;125;338
2014;147;188;27;-66;296
2013;68;99;-50;-261;-144
2012;-47;425;-62;-27;289
2011;163;424;11;10;608
2010;-51;498;-118;-63;266
2009;242;222;-146;67;385
2008;108;703;35;55;901
2007;-154;642;-425;-214;-151
2006;126;749;-423;-332;120
2005;-83;1173;-265;-214;611
2004;345;1503;-431;-159;1258
2003;44;1495;-338;9;1210
2002;304;1168;-200;63;1335
2001;127;758;-144;48;789
2000;90;854;-111;88;921
1999;221;671;-121;92;863
1998;298;765;-92;-72;899
1997;121;404;-187;-37;301
1995;-330;417;-171;-37;-121
1994;-132;284;-149;-146;-143
1993;-187;216;-107;-64;-142
1992;-311;227;-138;-79;-301
1990;-225;132;-146;58;-181
1989;-265;180;-106;-43;-234
1988;-582;-53;-62;-149;-846

