Nascuts vius segons el sexe
Terrassa
Font:
1975-2011: Idescat. Estadística de naixements. Moviment natural de la població.
2012-2021: Idescat a partir de l'INE, Estadística de naixements. Moviment natural de la població.
2022-2024: Idescat. Estadística de naixements. Moviment natural de la població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=naix&n=364&geo=mun:082798
;Nens;Nenes;Total
2024;886;796;1682
2023;869;833;1702
2022;896;897;1793
2021;911;904;1815
2020;961;888;1849
2019;993;1041;2034
2018;1022;978;2000
2017;1111;994;2105
2016;1180;1075;2255
2015;1211;1119;2330
2014;1246;1120;2366
2013;1245;1149;2394
2012;1441;1323;2764
2011;1450;1390;2840
2010;1499;1350;2849
2009;1591;1425;3016
2008;1583;1517;3100
2007;1488;1414;2902
2006;1446;1369;2815
2005;1396;1306;2702
2004;1313;1337;2650
2003;1228;1138;2366
2002;1144;1097;2241
2001;1121;1050;2171
2000;1047;986;2033
1999;970;879;1849
1998;952;837;1789
1997;890;863;1753
1996;841;789;1630
1995;815;743;1558
1994;802;735;1537
1993;799;799;1598
1992;870;811;1681
1991;844;786;1630
1990;881;815;1696
1989;853;773;1626
1988;843;815;1658
1987;872;851;1723
1986;897;907;1804
1985;913;874;1787
1984;986;875;1861
1983;1114;906;2020
1982;1109;1054;2163
1981;1182;1139;2321
1980;1295;1203;2498
1979;1391;1292;2683
1978;1520;1401;2921
1977;1605;1591;3196
1976;1698;1618;3316
1975;1640;1562;3202

