Pensions contributives de la Seguretat Social. Desembre. Pensionistes per sexe
Terrassa
Unitats: Pensionistes.
Font: Idescat, a partir de l'Institut Nacional de la Seguretat Social (INSS) i de l'Institut Social de la Marina (ISM).
Nota: Les dades de l'any 2015 no estan disponibles.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=pens&n=10756&geo=mun:082798
;Homes;Dones;Total
2024;20873;23977;44850
2023;20679;23703;44382
2022;20748;23659;44407
2021;20500;23389;43889
2020;20407;23187;43594
2019;20530;23371;43901
2018;20372;23154;43526
2017;20261;22820;43081
2016;20110;22584;42694
2014;19695;22448;42143
2013;19426;22355;41781
2012;19153;22280;41433
2011;18581;21998;40579

