Població. Per sexe
Terrassa
Font:
1975-1986: Idescat. Padró municipal d'habitants.
1991: Idescat. Cens de població.
1996: Idescat. Estadística de població.
2001-2021: Idescat, a partir del Cens de població i habitatges de l'INE.
2022-2025: Idescat, a partir del Cens de població anual de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censph&n=538&geo=mun:082798
;Homes;Dones;Total
2025;114342;118334;232676
2024;112166;116128;228294
2023;110695;114579;225274
2022;109573;113112;222685
2021;109501;113075;222576
2011;106179;108227;214406
2001;85264;88511;173775
1996;79779;84083;163862
1991;77127;80936;158063
1986;78433;81672;160105
1981;76180;79434;155614
1975;79127;81923;161050

