RFDB i RFDB per habitant. Revisió estadística 2024;;;
Terrassa;;;
Font: Idescat.;;;
(p) Dada provisional.;;;
Institut d'Estadística de Catalunya;;;
https://www.idescat.cat/pub/?id=rfdbc&n=21181&geo=mun:082798;;;
;Valor (milers €);Per habitant (€);Per habitant (índex Catalunya=100)
2022;4184775;18684;97,6
2021;4076207;18309;98,2
2020;3818347;17100;96,4
2019;3884103;17513;94,9
2018;3721664;16986;95,9
2017;3638443;16770;96
2016;3565825;16578;96,4
2015;3455143;16140;95,6
2014;3310766;15476;95,5
2013;3227898;15084;94,3
2012;3325239;15506;97
2011;3472431;16226;96,4
2010;3451819;16250;96
