Parc de vehicles, per tipus
Terrassa
Font: Idescat, a partir de la DGT.
Nota: Les dades dels anys 2016 i 2017 són provisionals.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=parcc&n=291&geo=mun:082798
;Turismes;Motocicletes;Camions i furgonetes;Tractors industrials;Autobusos i altres;Total
2024;102461;21534;17702;557;4369;146623
2023;102807;20475;17759;536;4310;145887
2022;101991;19677;17818;508;4287;144281
2021;102265;19078;18030;501;4192;144066
2020;102954;18688;18294;510;4084;144530
2019;102615;18130;18384;537;4009;143675
2018;101174;17467;18627;536;3847;141651
2017;99421;16792;18555;528;3749;139045
2016;96716;16172;18827;484;3685;135884
2015;94480;15562;18869;460;3662;133033
2014;93156;15038;18931;453;3671;131249
2013;93275;14627;19288;447;3764;131401
2012;94315;14447;19869;441;3802;132874
2011;94562;14180;20257;457;3870;133326
2010;94652;13705;20693;487;3956;133493
2009;94412;13088;21037;512;4009;133058
2008;94499;12533;21461;530;4015;133038
2007;94348;11755;21753;561;3970;132387
2006;90701;10483;20947;532;3688;126351
2005;89738;9323;20532;522;3354;123469
2004;87277;8356;19686;501;3017;118837
2003;84350;7830;18896;480;2675;114231
2002;85254;7916;18711;464;2384;114729
2001;82905;7748;18281;425;2129;111488
2000;80443;7547;17763;391;1934;108078
1999;77981;7376;17133;359;1774;104623
1998;74167;7248;16303;321;1656;99695
1997;70387;7140;15493;287;1525;94832

