Any;Població;Densitat;Naixements;Defuncions;Migracions internes;Migracions externes;Aturats;Pensionistes;HPO acabats;Habitatges acabats;Turismes;Motocicletes;RFDH;Taxa natalitat;Taxa mortalitat;Taxa atur;Taxa dependència;Taxa HPO;Taxa habitatges;Taxa turismes;Taxa motocicletes
2010;1619340.0;15977.7;14967.0;15305.0;-3939.0;49178.0;103546.5;339847.0;926.0;1672.0;596103.0;213441.0;20774.0;0.92;0.95;6.39;20.99;0.57;1.03;36.81;13.18
2011;1611013.0;15939.3;14775.0;15205.0;-1623.0;46366.0;107521.4;343344.0;1154.0;1839.0;590588.0;218033.0;20654.0;0.92;0.94;6.67;21.31;0.72;1.14;36.66;13.53
2012;1620941.0;15993.5;14584.0;16110.0;-4448.0;37564.0;112471.1;346841.0;1036.0;1077.0;584900.0;220960.0;19195.0;0.9;0.99;6.94;21.4;0.64;0.66;36.08;13.63
2013;1611820.0;15903.5;14018.0;15337.0;-1411.0;34593.0;110934.4;349618.0;172.0;666.0;572998.0;222407.0;19474.0;0.87;0.95;6.88;21.69;0.11;0.41;35.55;13.8
2014;1602384.0;15810.4;14065.0;15454.0;1149.0;40365.0;103465.9;350997.0;378.0;555.0;561556.0;223251.0;19691.0;0.88;0.96;6.46;21.9;0.24;0.35;35.05;13.93
2015;1604553.0;15831.8;14120.0;16003.0;-733.0;46164.0;93714.4;351134.0;316.0;836.0;561416.0;229377.0;20556.0;0.88;1.0;5.84;21.88;0.2;0.52;34.99;14.3
2016;1608749.0;15873.2;14087.0;15641.0;-5046.0;49496.0;82597.1;351272.0;263.0;1291.0;564416.0;236712.0;21132.0;0.88;0.97;5.13;21.84;0.16;0.8;35.08;14.71
2017;1620809.0;15992.2;13995.0;16249.0;-6683.0;58855.0;74824.5;350780.0;581.0;1039.0;565130.0;242336.0;21371.0;0.86;1.0;4.62;21.64;0.36;0.64;34.87;14.95
2018;1620343.0;15987.6;13328.0;15824.0;-12917.0;65134.0;70774.2;350399.0;244.0;1251.0;560632.0;247590.0;21538.0;0.82;0.98;4.37;21.62;0.15;0.77;34.6;15.28
2019;1636762.0;16149.6;12899.0;15112.0;-13245.0;75869.0;68792.5;350193.0;250.0;1069.0;553539.0;251287.0;22483.0;0.79;0.92;4.2;21.4;0.15;0.65;33.82;15.35
2020;1664187.0;16420.2;12279.0;19801.0;-23387.0;43938.0;86826.5;344696.0;270.0;981.0;546026.0;253150.0;21121.0;0.74;1.19;5.22;20.71;0.16;0.59;32.81;15.21
2021;1627559.0;16149.3;11975.0;16237.0;-15102.0;73027.0;81103.7;343905.0;408.0;2166.0;537077.0;253690.0;22136.0;0.74;1.0;4.98;21.13;0.25;1.33;33.0;15.59
2022;1615124.0;16144.0;11601.0;16348.0;-9528.0;96895.0;62150.8;343846.0;380.0;2041.0;530224.0;255262.0;23003.0;0.72;1.01;3.85;21.29;0.24;1.26;32.83;15.8
2023;1655956.0;16339.0;11378.0;15463.0;-11553.0;100466.0;62170.9;341036.0;901.0;1865.0;516415.0;258109.0;23870.0;0.69;0.93;3.75;20.59;0.54;1.13;31.19;15.59
2024;1686208.0;16637.5;11386.0;15337.0;-13578.0;104037.0;63357.7;340311.0;695.0;1884.0;487185.0;265348.0;24737.0;0.68;0.91;3.76;20.18;0.41;1.12;28.89;15.74
