Any;Població;Densitat;Naixements;Defuncions;Migracions internes;Migracions externes;Aturats;Pensionistes;HPO acabats;Habitatges acabats;Turismes;Motocicletes;RFDH;Taxa natalitat;Taxa mortalitat;Taxa atur;Taxa dependència;Taxa HPO;Taxa habitatges;Taxa turismes;Taxa motocicletes
2010;81745.0;1694.9;996.0;381.0;1435.0;1167.0;3846.9;8666.0;72.0;174.0;35151.0;8095.0;23643.0;1.22;0.47;4.71;10.6;0.88;2.13;43.0;9.9
2011;84934.0;1727.9;1016.0;422.0;908.0;1255.0;4035.0;9133.0;57.0;564.0;35712.0;8422.0;22676.0;1.2;0.5;4.75;10.75;0.67;6.64;42.05;9.92
2012;84947.0;1761.3;967.0;481.0;748.0;1045.0;4285.6;9600.0;128.0;296.0;36074.0;8592.0;20811.0;1.14;0.57;5.05;11.3;1.51;3.48;42.47;10.11
2013;86110.0;1785.4;983.0;457.0;767.0;993.0;4285.5;10054.0;0.0;143.0;36332.0;8819.0;20828.0;1.14;0.53;4.98;11.68;0.0;1.66;42.19;10.24
2014;87118.0;1806.3;974.0;493.0;740.0;1222.0;3936.9;10445.0;0.0;46.0;36760.0;9172.0;21079.0;1.12;0.57;4.52;11.99;0.0;0.53;42.2;10.53
2015;87832.0;1821.1;928.0;500.0;748.0;1529.0;3505.4;10756.0;0.0;21.0;37612.0;9542.0;22719.0;1.06;0.57;3.99;12.25;0.0;0.24;42.82;10.86
2016;88922.0;1843.7;939.0;509.0;63.0;1761.0;3116.0;11067.0;24.0;142.0;38379.0;10075.0;24014.0;1.06;0.57;3.5;12.45;0.27;1.6;43.16;11.33
2017;89515.0;1856.0;913.0;546.0;-314.0;1993.0;2723.3;11486.0;0.0;266.0;39374.0;10381.0;24391.0;1.02;0.61;3.04;12.83;0.0;2.97;43.99;11.6
2018;90663.0;1879.8;808.0;526.0;-175.0;2092.0;2574.3;11825.0;0.0;386.0;39955.0;10752.0;24835.0;0.89;0.58;2.84;13.04;0.0;4.26;44.07;11.86
2019;91005.0;1886.9;805.0;547.0;134.0;2484.0;2567.8;12123.0;97.0;469.0;40450.0;11022.0;26201.0;0.88;0.6;2.82;13.32;1.07;5.15;44.45;12.11
2020;92978.0;1927.8;753.0;701.0;636.0;1472.0;3224.9;12269.0;2.0;399.0;40524.0;11335.0;25426.0;0.81;0.75;3.47;13.2;0.02;4.29;43.58;12.19
2021;93937.0;1949.2;806.0;556.0;437.0;2505.0;2987.4;12606.0;4.0;445.0;40318.0;11583.0;25918.0;0.86;0.59;3.18;13.42;0.04;4.74;42.92;12.33
2022;95883.0;1984.8;752.0;493.0;-646.0;3097.0;2353.0;12990.0;3.0;134.0;40526.0;11745.0;26038.0;0.78;0.51;2.45;13.55;0.03;1.4;42.27;12.25
2023;97579.0;2023.2;707.0;543.0;-657.0;2721.0;2423.2;13199.0;61.0;150.0;40705.0;11921.0;26158.0;0.72;0.56;2.48;13.53;0.63;1.54;41.71;12.22
2024;98649.0;2045.4;633.0;501.0;-668.0;2345.0;2428.8;13557.0;0.0;239.0;40087.0;12182.0;26278.0;0.64;0.51;2.46;13.74;0.0;2.42;40.64;12.35
