Any;Població;Densitat;Naixements;Defuncions;Migracions internes;Migracions externes;Aturats;Pensionistes;HPO acabats;Habitatges acabats;Turismes;Motocicletes;RFDH;Taxa natalitat;Taxa mortalitat;Taxa atur;Taxa dependència;Taxa HPO;Taxa habitatges;Taxa turismes;Taxa motocicletes
2010;212725.0;3032.0;2849.0;1587.0;266.0;2259.0;20033.0;39725.0;277.0;675.0;94652.0;13705.0;16250.0;1.34;0.75;9.42;18.67;1.3;3.17;44.5;6.44
2011;214406.0;3045.9;2840.0;1520.0;608.0;2147.0;21496.7;40579.0;86.0;159.0;94562.0;14180.0;16226.0;1.32;0.71;10.03;18.93;0.4;0.74;44.1;6.61
2012;215679.0;3074.1;2764.0;1537.0;289.0;1553.0;23059.3;41433.0;416.0;294.0;94315.0;14447.0;15506.0;1.28;0.71;10.69;19.21;1.93;1.36;43.73;6.7
2013;215054.0;3065.2;2394.0;1625.0;-144.0;1467.0;23756.5;41781.0;25.0;132.0;93275.0;14627.0;15084.0;1.11;0.76;11.05;19.43;0.12;0.61;43.37;6.8
2014;215517.0;3071.8;2366.0;1594.0;296.0;1589.0;22109.3;42143.0;0.0;71.0;93156.0;15038.0;15476.0;1.1;0.74;10.26;19.55;0.0;0.33;43.22;6.98
2015;215216.0;3067.5;2330.0;1687.0;338.0;2089.0;19967.7;42418.0;0.0;30.0;94480.0;15562.0;16140.0;1.08;0.78;9.28;19.71;0.0;0.14;43.9;7.23
2016;215125.0;3066.2;2255.0;1703.0;642.0;2620.0;17650.4;42694.0;2.0;152.0;96716.0;16172.0;16578.0;1.05;0.79;8.2;19.85;0.01;0.71;44.96;7.52
2017;216430.0;3084.8;2105.0;1766.0;406.0;3085.0;15333.1;43081.0;6.0;69.0;99421.0;16792.0;16770.0;0.97;0.82;7.08;19.91;0.03;0.32;45.94;7.76
2018;218534.0;3114.8;2000.0;1801.0;276.0;3883.0;14329.1;43526.0;0.0;43.0;101174.0;17467.0;16986.0;0.92;0.82;6.56;19.92;0.0;0.2;46.3;7.99
2019;220555.0;3143.6;2034.0;1671.0;322.0;4184.0;14048.8;43901.0;5.0;240.0;102615.0;18130.0;17513.0;0.92;0.76;6.37;19.9;0.02;1.09;46.53;8.22
2020;223628.0;3187.4;1849.0;2092.0;-847.0;2395.0;16127.8;43594.0;21.0;229.0;102954.0;18688.0;17100.0;0.83;0.94;7.21;19.49;0.09;1.02;46.04;8.36
2021;222576.0;3178.6;1815.0;1905.0;-285.0;3880.0;15212.3;43889.0;54.0;425.0;102265.0;19078.0;18309.0;0.82;0.86;6.83;19.72;0.24;1.91;45.95;8.57
2022;222685.0;3194.3;1793.0;1889.0;11.0;5435.0;12866.7;44407.0;2.0;455.0;101991.0;19677.0;18684.0;0.81;0.85;5.78;19.94;0.01;2.04;45.8;8.84
2023;225274.0;3210.9;1702.0;1811.0;535.0;5611.0;12556.6;44382.0;21.0;369.0;102807.0;20475.0;19059.0;0.76;0.8;5.57;19.7;0.09;1.64;45.64;9.09
2024;228294.0;3253.9;1682.0;1720.0;1059.0;5787.0;12239.9;44850.0;21.0;568.0;102461.0;21534.0;19434.0;0.74;0.75;5.36;19.65;0.09;2.49;44.88;9.43
